,Bear,Bull,Crisis
Bear,0.9596655512870617,0.027835325160729722,0.012499123552208528
Bull,0.0202307429532885,0.9791556961367743,0.0006135609099371411
Crisis,0.04012230822246549,1.0920448624505935e-153,0.9598776917775345
