date,regime,stocks,exposure
2024-02-29,Bull,"NVDA, META, LLY, AVGO, AMZN, GOOGL, MSFT, GE, COST, ASML",1.0
2024-04-30,Bull,"NVDA, AVGO, META, LLY, GE, AMZN, TSM, CAT, ASML, WFC",1.0
2024-05-31,Bull,"NVDA, GE, LLY, META, CAT, AVGO, WFC, AMZN, AXP, COST",1.0
2024-07-31,Bear,"KO, ICE, SPGI, PG, PEP, LMT, BLK, MS, HON, CVX",1.0
2024-09-30,Bear,"ICE, KO, SPGI, PEP, LMT, JNJ, HON, BLK, MCD, PG",1.0
2024-10-31,Bear,"JNJ, KO, PEP, PG, ABT, SPGI, MRK, HD, CVX, BLK",1.0
2024-12-31,Bear,"JNJ, KO, PG, PEP, SPGI, ABT, AAPL, COST, XOM, WMT",1.0
2025-01-31,Bull,"NVDA, AVGO, TSM, MMM, WMT, GE, GS, META, ORCL, MS",1.0
2025-02-28,Bear,"MCD, SPGI, JNJ, ICE, KO, COST, XOM, PG, JPM, BAC",1.0
2025-03-31,Bear,"JNJ, ICE, PFE, KO, HON, CVX, PG, MCD, SPGI, XOM",1.0
2025-04-30,Crisis,"KO, ICE, JNJ, ABT, PG, MCD, PEP, PFE, LMT, HD",0.5
2025-06-30,Bear,"KO, MCD, PG, ABT, ICE, PEP, JNJ, HD, COST, LMT",1.0
2025-07-31,Bear,"ICE, WMT, MCD, KO, SPGI, PG, COST, JPM, HD, MCO",1.0
2025-09-30,Bear,"KO, ICE, MCD, PG, COST, MSFT, JPM, MS, HON, JNJ",1.0
2025-10-31,Bear,"JNJ, PG, MCD, KO, LMT, MSFT, ABT, CVX, JPM, XOM",1.0
